Model,Best_Solution
Library 1 Sources: GLOBALLib and Floudas' Collection,Library 1 Sources: GLOBALLib and Floudas' Collection
,
Below in the table: N - number of variables; M - number of constraints;,Below in the table: N - number of variables; M - number of constraints;
Nnl - number of nonlinear variables; Mnl - number of nonlinear constraints; Nz – number of constraint Jacobian matrix nonzeros + number of objective gradient nonzeros;,Nnl - number of nonlinear variables; Mnl - number of nonlinear constraints; Nz – number of constraint Jacobian matrix nonzeros + number of objective gradient nonzeros;
,
abel,225.19460000
alkyl,-1.76500000
bearing,
camshape100,-4.28410000
camshape200,-4.27850000
camshape400,
camshape800,
catmix100,-0.04810000
catmix200,-0.04810000
catmix400,
catmix800,
chain100,5.06980000
chain200,5.06890000
chain400,5.06860000
chain50,5.07230000
chakra,-179.13360000
chance,29.89440000
chem,-47.70650000
chenery,-1058.91990000
circle,4.57420000
demo7,-1589042.38620000
dispatch,3155.28790000
elec25,243.81270000
elec50,1055.18200000
etamac,-15.29470000
ex14_1_1,0.00000000
ex14_1_2,0.00000000
ex14_1_3,0.00000000
ex14_1_4,0.00000000
ex14_1_5,0.00000000
ex14_1_6,0.00000000
ex14_1_7,0.00000000
ex14_1_8,0.00000000
ex14_1_9,0.00000000
ex14_2_1,0.00000000
ex14_2_2,0.00000000
ex14_2_3,0.00000000
ex14_2_4,0.00000000
ex14_2_5,0.00000000
ex14_2_6,0.00000000
ex14_2_7,0.00000000
ex14_2_8,0.00000000
ex14_2_9,0.00000000
ex2_1_1,-17.00000000
ex2_1_10,49318.01800000
ex2_1_2,-213.00000000
ex2_1_3,-15.00000000
ex2_1_4,-11.00000000
ex2_1_5,-268.01460000
ex2_1_6,-39.00000000
ex2_1_7,-4150.41010000
ex2_1_8,15639.00000000
ex2_1_9,-0.37500000
ex3_1_1,7049.20830000
ex3_1_2,-30665.54000000
ex3_1_3,-310.00000000
ex3_1_4,-4.00000000
ex4_1_1,-7.48730000
ex4_1_2,-663.50010000
ex4_1_3,-443.67170000
ex4_1_4,0.00000000
ex4_1_5,0.00000000
ex4_1_6,7.00000000
ex4_1_7,-7.50000000
ex4_1_8,-16.73890000
ex4_1_9,-5.50800000
ex5_2_2_case1,-400.00000000
ex5_2_2_case2,-600.00000000
ex5_2_2_case3,-750.00000000
ex5_2_4,-450.00000000
ex5_2_5,-3500.00010000
ex5_3_2,1.86420000
ex5_3_3,3.23400000
ex5_4_2,7512.22590000
ex5_4_3,4845.46200000
ex5_4_4,10077.77540000
ex6_1_1,-0.02020000
ex6_1_2,-0.03250000
ex6_1_3,-0.35250000
ex6_1_4,-0.29450000
ex6_2_10,-3.05200000
ex6_2_11,0.00000000
ex6_2_12,0.28920000
ex6_2_13,-0.21620000
ex6_2_14,-0.69540000
ex6_2_5,-70.75210000
ex6_2_6,0.00000000
ex6_2_7,-0.16080000
ex6_2_8,-0.02700000
ex6_2_9,-0.03410000
ex7_2_1,1227.18960000
ex7_2_2,-0.38880000
ex7_2_3,7049.21810000
ex7_2_4,3.91800000
ex7_2_5,10122.48280000
ex7_2_6,-83.24990000
ex7_2_7,-5.73990000
ex7_2_8,-6.08200000
ex7_2_9,1.14360000
ex7_2_10,0.10000000
ex7_3_1,0.34170000
ex7_3_2,1.08990000
ex7_3_3,0.81750000
ex7_3_4,6.27460000
ex7_3_5,1.20360000
ex7_3_6,0.00000000
ex8_1_1,-2.02180000
ex8_1_2,-1.07090000
ex8_1_3,3.00000000
ex8_1_4,0.00000000
ex8_1_5,-1.03160000
ex8_1_6,-10.08600000
ex8_1_7,0.02930000
ex8_1_8,-0.38880000
ex8_2_1,-979.17830000
ex8_2_2,
ex8_2_3,
ex8_2_4,-58307398.39170000
ex8_2_5,
ex8_3_1,-0.79370000
ex8_3_10,-0.88450000
ex8_3_12,-0.58250000
ex8_3_13,-42.39040000
ex8_3_14,-2.41240000
ex8_3_2,-0.41230000
ex8_3_3,-0.41660000
ex8_3_4,-3.58000000
ex8_3_5,-0.06880000
ex8_3_6,-0.50000000
ex8_3_7,-1.23260000
ex8_3_8,-3.24680000
ex8_3_9,-0.76300000
ex8_4_1,0.61860000
ex8_4_2,0.48520000
ex8_4_3,0.00460000
ex8_4_4,0.21250000
ex8_4_5,0.00030000
ex8_4_6,0.00110000
ex8_4_7,28.89800000
ex8_4_8,3.32180000
ex8_5_1,0.00000000
ex8_5_2,-0.00020000
ex8_5_3,-0.00420000
ex8_5_4,-0.00040000
ex8_5_5,-0.01080000
ex8_5_6,-0.00120000
ex8_6_1,-28.42250000
ex8_6_2,-31.88860000
ex9_1_1,-13.00000000
ex9_1_10,-3.25000000
ex9_1_2,-16.00000000
ex9_1_3,-58.00000000
ex9_1_4,-37.00000000
ex9_1_5,-1.00000000
ex9_1_6,-52.00000000
ex9_1_7,-50.00000000
ex9_1_8,-3.25000000
ex9_1_9,2.00000000
ex9_2_1,17.00000000
ex9_2_2,99.99950000
ex9_2_3,0.00000000
ex9_2_4,0.50000000
ex9_2_5,5.00000000
ex9_2_6,-1.00000000
ex9_2_7,17.00000000
ex9_2_8,1.50000000
flowchan100,
flowchan200,
flowchan400,
flowchan50,
gancns,
gancnsx,
gasoil100,
gasoil200,
gasoil400,
gasoil50,
glider100,
glider200,
glider400,
gtm,543.56510000
harker,-986.51350000
haverly,-400.00000000
hhfair,-87.15900000
himmel11,-30665.54000000
himmel16,-0.86600000
house,-4500.00000000
hydro,4366944.00000000
immun,0.00000000
jbearing100,
jbearing25,
jbearing50,
jbearing75,
launch,2257.79760000
least,14085.13980000
like,
linear,89.00000000
lnts100,0.55460000
lnts200,
lnts400,
lnts50,0.55470000
meanvar,5.24340000
methanol100,
methanol200,
methanol400,
methanol50,
mhw4d,0.02930000
minlphi,582.23610000
minsurf100,
minsurf25,
minsurf50,
minsurf75,
nemhaus,31.00000000
otpop,0.00000000
pindyck,-1612.17830000
pinene100,
pinene200,
pinene25,
pinene50,
pollut,-5353268.62880000
polygon100,-0.67910000
polygon25,-0.77220000
polygon50,-0.77570000
popdynm100,
popdynm200,
popdynm25,
popdynm50,
process,-1161.33660000
prolog,0.00000000
qp1,0.00080000
qp2,0.00080000
qp3,0.00080000
qp4,0.00080000
qp5,0.43150000
ramsey,-2.48750000
rbrock,0.00000000
robot100,
robot200,
robot400,
robot50,9.14690000
rocket100,-1.01260000
rocket200,
rocket400,
rocket50,-1.01280000
sambal,3.96820000
sample,726.63670000
ship,0.00000000
srcpm,2109.78180000
torsion100,
torsion25,
torsion50,
torsion75,
turkey,-29330.15800000
wall,-1.00000000
water,906.35190000
weapons,-1735.57000000
worst,
