Problema,Solver,Status,Tempo_Segundos,Valor_Objetivo,F_Star,Gap,Dual_Infeasibility,Primal_Infeasibility,Iteracoes,Timestamp
abel,Ipopt,LOCALLY_SOLVED,4.2624297,225.1945831860207,225.1946,7.433413220484903e-8,-5064.996489791811,NaN,6,2026-05-23T06:18:30.028
alkyl,Ipopt,LOCALLY_SOLVED,0.2710018,-1.764999652373902,-1.765,1.257237243788044e-7,36.213349583477246,NaN,13,2026-05-23T06:18:31.176
camshape100,Ipopt,ERRO: LoadError,300.0,NaN,-4.2841,NaN,NaN,NaN,0,2026-05-23T06:18:31.825
camshape200,Ipopt,ERRO: LoadError,300.0,NaN,-4.2785,NaN,NaN,NaN,0,2026-05-23T06:18:31.830
catmix100,Ipopt,ERRO: LoadError,300.0,NaN,-0.0481,NaN,NaN,NaN,0,2026-05-23T06:18:31.873
catmix200,Ipopt,ERRO: LoadError,300.0,NaN,-0.0481,NaN,NaN,NaN,0,2026-05-23T06:18:31.879
chain100,Ipopt,ERRO: LoadError,300.0,NaN,5.0698,NaN,NaN,NaN,0,2026-05-23T06:18:32.134
chain200,Ipopt,ERRO: LoadError,300.0,NaN,5.0689,NaN,NaN,NaN,0,2026-05-23T06:18:32.245
chain400,Ipopt,ERRO: LoadError,300.0,NaN,5.0686,NaN,NaN,NaN,0,2026-05-23T06:18:33.436
chain50,Ipopt,LOCALLY_SOLVED,0.1412304,5.072261484923286,5.0723,6.342749323089416e-6,10.008404698706455,NaN,6,2026-05-23T06:18:34.178
chakra,Ipopt,LOCALLY_SOLVED,0.034377,-179.1335578648913,-179.1336,2.3391032386013484e-7,-12.40568365939207,NaN,7,2026-05-23T06:18:34.402
chance,Ipopt,LOCALLY_SOLVED,0.0029901,29.894378396293284,29.8944,6.992758142863555e-7,21.273015968426943,NaN,6,2026-05-23T06:18:34.483
chem,Ipopt,LOCALLY_SOLVED,0.0061615,-47.706514743633605,-47.7065,3.0270361463929516e-7,-47.70651573991319,NaN,19,2026-05-23T06:18:34.566
chenery,Ipopt,LOCALLY_SOLVED,0.235252,-1058.9198550997796,-1058.9199,4.2361899680541544e-8,-1042.8670217034116,NaN,16,2026-05-23T06:18:35.053
circle,Ipopt,LOCALLY_SOLVED,0.0035817,4.574248056536788,4.5742,8.621243727763592e-6,0.0,NaN,8,2026-05-23T06:18:35.098
demo7,Ipopt,ERRO: LoadError,300.0,NaN,-1.5890423862e6,NaN,NaN,NaN,0,2026-05-23T06:18:35.102
dispatch,Ipopt,LOCALLY_SOLVED,0.0040178,3155.287899600138,3155.2879,1.2668730864862561e-10,2743.9834616747235,NaN,10,2026-05-23T06:18:35.124
elec25,Ipopt,ERRO: LoadError,300.0,NaN,243.8127,NaN,NaN,NaN,0,2026-05-23T06:18:35.201
elec50,Ipopt,LOCALLY_SOLVED,1.7921974,1055.182314726296,1055.182,2.979849078878799e-7,-527.591157363147,NaN,157,2026-05-23T06:18:37.197
etamac,Ipopt,ERRO: LoadError,300.0,NaN,-15.2947,NaN,NaN,NaN,0,2026-05-23T06:18:37.355
ex14_1_1,Ipopt,LOCALLY_SOLVED,0.3320246,3.536363635736702e-7,0.0,3.536363635736702e-7,-4.4627178213675155e-8,NaN,7,2026-05-23T06:18:38.401
ex14_1_2,Ipopt,LOCALLY_SOLVED,0.0366337,7.172657227952012e-7,0.0,7.172657227952012e-7,3.1186748295422777e-9,NaN,19,2026-05-23T06:18:38.608
